"day","open","high","low","close","volume","rv","return","high_low_range","lag_rv","lag_return","tr","atr14","ma7","ma14","ma30","rsi14","roc9","mean_rv_5d","sum_past_returns_3","diff_past_returns_3","weekend","rv_week","rv_month","fear_greed","vix","sp500","nasdaq","gold","google_trends","ma_50","ma_200","perc_diff","regime"
"2022-01-30",38140,38359.26,37351.63,37785.78,491938.37112,0.503231727223176,-0.223938211207433,1007.63,0.0251483150132642,0.0127975870500117,1007.63,2136.4791900055,37136.58,38154.2435714286,41131.4353333333,34.8475051729966,0.0451525602134808,0.0343013226477186,0.0290124998902172,-0.0146813386032864,1,0.0343013226477186,0.0347031743255201,29,27.6599998474121,4431.85009765625,13770.5703125,1784.90002441406,78,NA,NA,NA,"Sideways"
"2022-01-31",37785.78,38744,36632.61,38412.46,912226.88448,0.862005938677963,0.394777074153715,2111.39,0.020967988634299,-0.0093307588003097,2111.39,2134.68710500511,37428.44,37892.4771428571,40830.4926666667,38.4802581557451,0.0966116459868385,0.0331008801634201,0.0199158730061067,-0.0090966268841104,0,0.0331008801634201,0.0350058491040409,20,24.8299999237061,4515.5498046875,14239.8798828125,1795,78,NA,NA,NA,"Sideways"
"2022-02-01",38412.45,39265.2,38000,38697.55,829042.32288,0.654286072901081,0.177465705835778,1265.2,0.0359169141115818,0.0164490447564048,1265.2,2072.58088321903,37700.7814285714,37622.2335714286,40545.2316666667,40.1160795174661,0.0860050309659623,0.0290348877425106,0.0145126903659192,-0.0054031826401874,0,0.0290348877425106,0.0344502087067489,26,21.9599990844727,4546.5400390625,14346,1800.30004882812,78,NA,NA,NA,"Sideways"
"2022-02-02",38697.56,38889,36586.95,37006.93,837026.53656,0.721879187924201,-1.07210635523087,2302.05,0.0272619197042117,0.0073944044098241,2302.05,2088.97153441767,37771.8571428571,37267.2371428571,40238.1993333333,34.2927383047364,0.0173763308286858,0.0278746873920397,-0.0208276489683904,-0.0353403393343096,0,0.0278746873920397,0.0344229590184435,28,22.0900001525879,4589.3798828125,14417.5498046875,1809.19995117188,78,NA,NA,NA,"Sideways"
"2022-02-03",37006.93,37133.16,36250,36933.16,773258.04528,0.714770054982403,-0.0478895978473416,883.160000000003,0.0300782994968417,-0.0446710981346194,883.160000000003,2002.84213910212,37804.4128571428,36964.8021428572,39930.641,34.0603993907377,0.0038521935665052,0.0288014415142402,-0.0392720936351012,-0.0184444446667108,0,0.0288014415142402,0.0348001749967818,20,24.3500003814697,4477.43994140625,13878.8203125,1803,78,NA,NA,NA,"Sideways"
"2022-02-04",36933.16,40884.96,36865.49,40641.74,1508400.37632,1.27470711784688,2.29645979570532,4019.47,0.0297820856242668,-0.0019953999103059,4019.47,2146.88698630911,38231.0885714286,37287.955,39837.464,51.7563083274086,0.107225855635553,0.0352304031027711,0.0490193267761298,0.088291420411231,0,0.0352304031027711,0.0359598013232207,20,23.2199993133545,4500.52978515625,14098.009765625,1806.59997558594,78,NA,NA,NA,"Sideways"
"2022-02-05",40641.74,41913.69,40562.29,41579.88,996394.93625,0.732544044578637,0.570519477712355,1351.4,0.0531127965769535,0.0956858248210552,1351.4,2090.06648728703,38722.5,37766.875,39784.0943333333,55.0430677447824,0.124696054941069,0.0339073726370838,0.116511204019243,0.0674918772431136,1,0.0339073726370838,0.0360948113691405,33,23.2199993133545,4500.52978515625,14098.009765625,1806.59997558594,78,NA,NA,NA,"Sideways"
"2022-02-06",41579.89,42168,41116.56,41590.73,449172.36624,0.390182450563162,0.0062618273805432,1051.44,0.0293017617831455,0.0228207791084942,1051.44,2015.87888105225,39266.0642857143,38201.3221428571,39785.7246666667,55.0811833181872,0.0994112927747448,0.0317065091176012,0.118767513403739,0.0022563093844953,1,0.0317065091176012,0.0361078556386452,37,23.2199993133545,4500.52978515625,14098.009765625,1806.59997558594,75,NA,NA,NA,"Sideways"
"2022-02-07",41590.74,44500.5,41478.86,44068.99,1296467.6952,0.838171224226922,1.38909731062564,3021.64,0.0162576021067984,0.0002609094741893,3021.64,2087.71896097709,40074.14,38751.29,39857.654,62.8324331193923,0.144492760334135,0.0326756094201239,0.0809607431920852,-0.0378067702116536,0,0.0326756094201239,0.0369553068031335,45,22.8600006103516,4483.8701171875,14015.669921875,1820.59997558594,75,NA,NA,NA,"Sideways"
"2022-02-08",44069.99,45492,42666,44062.89,1567068.2376,1.00482617988651,-0.003322293822252,2826,0.0349238010094551,0.0578790546094016,2826,2140.45332090729,40840.6171428571,39270.6992857143,39919.5713333333,62.8037057176852,0.153685090225183,0.0350927437943248,0.0580015351743304,-0.0229592080177548,0,0.0350927437943248,0.0380264416905099,48,21.4400005340576,4521.5400390625,14194.4501953125,1826.59997558594,75,NA,NA,NA,"Sideways"
