"day","open","high","low","close","volume","rv","return","high_low_range","lag_rv","lag_return","tr","atr14","ma7","ma14","ma30","rsi14","roc9","mean_rv_5d","sum_past_returns_3","diff_past_returns_3","weekend","rv_week","rv_month","fear_greed","vix","sp500","nasdaq","gold","google_trends","ma_50","ma_200","perc_diff","regime"
"1/30/2022",2600.2,2640,2542.5,2575.68,6399432.794,0.030685423,-0.009432483,97.5,0.039620203,0.033142052,97.5,223.2405903,2480.248571,2663.721429,3059.804,33.25753625,0.011735413,0.052055444,0.078009391,0.013715191,1,0.052055444,0.047733321,29,27.65999985,4431.850098,13770.57031,1784.900024,78,NA,NA,NA,"Sideways"
"1/31/2022",2575.59,2706.77,2476.07,2680,11113220.9,0.043961054,0.039703218,230.7,0.030685423,-0.009432483,230.7,223.7734053,2518.464286,2627.109286,3023.874333,38.40474903,0.118981048,0.046377659,0.063412787,-0.014596605,0,0.046377659,0.048121271,20,24.82999992,4515.549805,14239.87988,1795,78,NA,NA,NA,"Sideways"
"2/1/2022",2680,2813,2673.52,2788.05,9533203.059,0.034430422,0.039525632,139.48,0.043961054,0.039703218,139.48,217.7524478,2568.531429,2599.169286,2989.219333,43.28362966,0.131092826,0.041135486,0.069796367,0.00638358,0,0.041135486,0.047491073,26,21.95999908,4546.540039,14346,1800.300049,78,NA,NA,NA,"Sideways"
"2/2/2022",2788.05,2810.88,2612.72,2679.06,10353223.99,0.050819,-0.03987644,198.16,0.034430422,0.039525632,198.16,216.3529872,2602.942857,2567.169286,2953.455,39.85440558,0.104806578,0.03990322,0.03935241,-0.030443957,0,0.03990322,0.048111787,28,22.09000015,4589.379883,14417.5498,1809.199951,78,NA,NA,NA,"Sideways"
"2/3/2022",2679.36,2726.64,2576.05,2660.22,9983388.667,0.04571207,-0.007057161,150.59,0.050819,-0.03987644,150.59,211.655631,2642.632857,2538.540714,2914.908333,39.27515165,0.087403082,0.041121594,-0.007407968,-0.046760378,0,0.041121594,0.048952646,20,24.35000038,4477.439941,13878.82031,1803,78,NA,NA,NA,"Sideways"
"2/4/2022",2660.22,2979,2653.26,2955.81,15697942.71,0.056051763,0.105363899,325.74,0.04571207,-0.007057161,325.74,219.8045145,2705.558571,2567.839286,2895.627,51.24758243,0.192520866,0.046194862,0.058430298,0.065838267,0,0.046194862,0.050053812,20,23.21999931,4500.529785,14098.00977,1806.599976,78,NA,NA,NA,"Sideways"
"2/5/2022",2955.91,3060.47,2946.37,3019.3,10228898.67,0.028844712,0.021252291,114.1,0.056051763,0.105363899,114.1,212.254192,2765.445714,2613.548571,2881.952,53.37398022,0.236920831,0.043171593,0.11955903,0.061128731,1,0.043171593,0.049864918,33,23.21999931,4500.529785,14098.00977,1806.599976,78,NA,NA,NA,"Sideways"
"2/6/2022",3019.29,3047,2950.21,2989.2,5314620.802,0.020139395,-0.010019223,96.79,0.028844712,0.021252291,96.79,204.0067498,2824.52,2652.384286,2875.533,52.21130411,0.172601785,0.040313388,0.116596967,-0.002962063,1,0.040313388,0.049810124,37,23.21999931,4500.529785,14098.00977,1806.599976,75,NA,NA,NA,"Sideways"
"2/7/2022",2989.03,3186,2983.18,3151.69,11426507.34,0.033836841,0.052933024,202.82,0.020139395,-0.010019223,202.82,203.9219819,2891.904286,2705.184286,2876.641,57.58302763,0.192392757,0.036916956,0.064166092,-0.052430875,0,0.036916956,0.050380916,45,22.86000061,4483.870117,14015.66992,1820.599976,75,NA,NA,NA,"Sideways"
"2/8/2022",3151.69,3232.87,3025.21,3113.92,12339394.83,0.039749149,-0.012056434,207.66,0.033836841,0.052933024,207.66,204.1889832,2938.457143,2753.494286,2874.458333,56.00709888,0.189768806,0.035724372,0.030857366,-0.033308726,0,0.035724372,0.05082918,48,21.44000053,4521.540039,14194.4502,1826.599976,75,NA,NA,NA,"Sideways"
"2/9/2022",3113.92,3269.7,3055,3251.02,8955969.658,0.027530946,0.043086411,214.7,0.039749149,-0.012056434,214.7,204.9397701,3020.165714,2811.554286,2880.734667,60.25876007,0.193151999,0.030020209,0.083963,0.053105634,0,0.030020209,0.05077226,54,19.95999908,4587.180176,14490.37012,1835.199951,75,NA,NA,NA,"Sideways"
"2/10/2022",3251.01,3283.66,3085.04,3115.82,13607659.2,0.051584519,-0.042476433,198.62,0.027530946,0.043086411,198.62,204.488358,3085.251429,2863.942143,2876.856,54.64972743,0.111149933,0.03456817,-0.011446457,-0.095409457,0,0.03456817,0.051376809,50,23.90999985,4504.080078,14185.63965,1836.199951,75,NA,NA,NA,"Sideways"
"2/11/2022",3115.82,3138.62,2879.01,2893.99,11234066.7,0.048911505,-0.073856187,259.61,0.051584519,-0.042476433,259.61,208.4256181,3076.42,2890.989286,2861.225667,46.93084508,0.077170186,0.040322592,-0.07324621,-0.061799753,0,0.040322592,0.051368513,50,27.36000061,4418.640137,13791.15039,1840.800049,75,NA,NA,NA,"Sideways"
"2/12/2022",2894,2985.98,2858.3,2915.6,8976852.265,0.047923628,0.007439458,127.68,0.048911505,-0.073856187,127.68,202.658074,3061.605714,2913.525714,2850.175333,47.70573438,0.091666804,0.043139949,-0.108893163,-0.035646953,1,0.043139949,0.049627705,44,27.36000061,4418.640137,13791.15039,1840.800049,75,NA,NA,NA,"Sideways"
"2/13/2022",2915.59,2954.4,2836.7,2902.14,5697753.286,0.029918635,-0.004627235,117.7,0.047923628,0.007439458,117.7,196.5896401,3049.168571,2936.844286,2836.463667,47.24302303,-0.018324329,0.041173847,-0.071043964,0.037849199,1,0.041173847,0.046895526,44,27.36000061,4418.640137,13791.15039,1840.800049,69,NA,NA,NA,"Sideways"
"2/14/2022",2902.14,2964.97,2829.01,2941.21,9227504.071,0.035935309,0.013372665,135.96,0.029918635,-0.004627235,135.96,192.2589515,3019.1,2955.502143,2823.250667,48.79551929,-0.026203955,0.042854719,0.016184889,0.087228853,0,0.042854719,0.045973396,46,28.32999992,4401.669922,13790.91992,1868,69,NA,NA,NA,"Sideways"
"2/15/2022",2941.22,3149,2912.06,3125.7,10301708.71,0.040625127,0.060837197,236.94,0.035935309,0.013372665,236.94,195.450455,3020.782857,2979.62,2815.827667,55.46064953,0.044652465,0.040662841,0.069582628,0.053397739,0,0.040662841,0.04311411,46,25.70000076,4471.069824,14139.75977,1854.800049,69,NA,NA,NA,"Sideways"
"2/16/2022",3125.69,3196.19,3044.03,3136.27,8124705.775,0.039314668,0.003375938,152.16,0.040625127,0.060837197,152.16,192.3582796,3004.39,3012.277857,2813.951,55.81550979,-0.004904621,0.038743473,0.0775858,0.008003172,0,0.038743473,0.042525726,51,24.29000092,4475.009766,14124.08984,1870.199951,69,NA,NA,NA,"Sideways"
"2/17/2022",3136.26,3160,2851.55,2899.37,11638711.17,0.040041224,-0.078540724,308.45,0.039314668,0.003375938,308.45,200.6505454,2973.468571,3029.36,2804.623,46.81315453,-0.071388911,0.037166992,-0.014327589,-0.091913389,0,0.037166992,0.041057146,52,28.11000061,4380.259766,13716.71973,1900.699951,69,NA,NA,NA,"Sideways"
"2/18/2022",2899.38,2943.97,2750,2774.55,12200118.41,0.03578987,-0.0440049,193.97,0.040041224,-0.078540724,193.97,200.1733636,2956.405714,3016.412857,2792.872667,42.88813175,-0.158480221,0.03834124,-0.119169686,-0.104842097,0,0.03834124,0.039927536,30,27.75,4348.870117,13548.07031,1898.599976,69,NA,NA,NA,"Sideways"
"2/19/2022",2774.56,2830.96,2694.45,2743.08,7720994.863,0.032341059,-0.011407195,136.51,0.03578987,-0.0440049,136.51,195.6259804,2931.76,2996.682857,2782.274667,41.93350696,-0.127410983,0.03762239,-0.133952819,-0.014783133,1,0.03762239,0.038807569,25,27.75,4348.870117,13548.07031,1898.599976,69,NA,NA,NA,"Sideways"
"2/20/2022",2743.07,2767.84,2576,2652.2,8908692.024,0.044320235,-0.033691892,191.84,0.032341059,-0.011407195,191.84,195.3555533,2896.054286,2972.611429,2785.827,39.21866447,-0.087246689,0.038361411,-0.089103988,0.044848831,1,0.038361411,0.039021207,27,27.75,4348.870117,13548.07031,1898.599976,60,NA,NA,NA,"Sideways"
"2/21/2022",2652.2,2759.51,2568,2618.44,17697264.97,0.065963245,-0.012810764,191.51,0.044320235,-0.033691892,191.51,195.0808709,2849.944286,2934.522143,2793.796,38.22853962,-0.10749691,0.043691127,-0.057909851,0.031194136,0,0.043691127,0.040624744,25,27.75,4348.870117,13548.07031,1898.599976,60,NA,NA,NA,"Sideways"
"2/22/2022",2618.45,2665.74,2500,2604.4,17228195.01,0.050600295,-0.005376398,165.74,0.065963245,-0.012810764,165.74,192.9850944,2775.472857,2898.127857,2799.092667,37.80112318,-0.108246074,0.045802941,-0.051879054,0.006030797,0,0.045802941,0.040926528,20,28.80999947,4304.759766,13381.51953,1906.099976,60,NA,NA,NA,"Sideways"
"2/23/2022",2604.41,2753.55,2597.14,2636.92,11862483.85,0.034480025,0.012409247,156.41,0.050600295,-0.005376398,156.41,190.3725877,2704.137143,2854.263571,2806.573667,39.48871723,-0.109209492,0.045540972,-0.005777915,0.046101139,0,0.045540972,0.040928783,25,31.02000046,4225.5,13037.49023,1909.199951,60,NA,NA,NA,"Sideways"
"2/24/2022",2636.91,2740,2300,2566.22,33765490.45,0.092117546,-0.02717757,440,0.034480025,0.012409247,440,208.2031171,2656.544286,2815.006429,2810.861667,37.13006091,-0.197224259,0.057496269,-0.020144722,-0.014366807,0,0.057496269,0.042805989,23,30.31999969,4288.700195,13473.58984,1925.099976,60,NA,NA,NA,"Sideways"
"2/25/2022",2566.6,2798.74,2566.23,2791.58,15170670.41,0.058182866,0.084173745,232.51,0.092117546,-0.02717757,232.52,209.9400373,2658.977143,2807.691429,2822.641667,47.82740939,-0.116426452,0.060268795,0.069405421,0.089550143,0,0.060268795,0.043372844,27,27.59000015,4384.649902,13694.62012,1886.5,60,NA,NA,NA,"Sideways"
"2/26/2022",2791.58,2878,2727.5,2795.37,13343095.47,0.036243971,0.001356733,150.5,0.058182866,0.084173745,150.5,205.6943204,2666.447143,2799.103571,2836.407667,47.98769196,-0.036528995,0.05432494,0.058352908,-0.011052514,1,0.05432494,0.04247249,26,27.59000015,4384.649902,13694.62012,1886.5,60,NA,NA,NA,"Sideways"
"2/27/2022",2795.36,2836.33,2557.98,2630.09,14938176.53,0.06992241,-0.060946411,278.35,0.036243971,0.001356733,278.35,210.8840118,2663.288571,2779.671429,2840.233,41.93697588,-0.053470506,0.058189363,0.024584067,-0.033768841,1,0.058189363,0.044339658,26,27.59000015,4384.649902,13694.62012,1886.5,55,NA,NA,NA,"Sideways"
"2/28/2022",2630.09,2951.6,2568.62,2897.24,17814211.55,0.068897094,0.096740494,382.98,0.06992241,-0.060946411,382.98,223.1765824,2703.117143,2776.530714,2850.138,52.38709321,0.054677183,0.065072777,0.037150816,0.012566749,0,0.065072777,0.046555917,20,30.14999962,4373.939941,13751.40039,1899.400024,55,NA,NA,NA,"Sideways"
"3/1/2022",2897.25,3037.94,2854.09,2974.4,16664698.2,0.046436581,0.026283778,183.85,0.068897094,0.096740494,183.85,220.3675408,2755.974286,2765.723571,2863.428667,54.91122306,0.114652854,0.055936584,0.062077861,0.024927045,0,0.055936584,0.047128632,51,33.31999969,4306.259766,13532.45996,1942.400024,55,NA,NA,NA,"Sideways"
"3/2/2022",2974.39,3043.91,2914.21,2960.8,14861946.53,0.048042991,-0.004582836,129.7,0.046436581,0.026283778,129.7,213.8912879,2802.242857,2753.19,2872.788667,54.36416791,0.122880781,0.053908609,0.118441436,0.056363575,0,0.053908609,0.047505625,52,30.73999977,4386.540039,13752.01953,1920.900024,55,NA,NA,NA,"Sideways"
"3/3/2022",2960.8,2970.97,2785,2834,10707287.65,0.035720924,-0.043770361,185.97,0.048042991,-0.004582836,185.97,211.8969101,2840.497143,2748.520714,2874.320333,49.42057375,0.084486819,0.053804,-0.022069418,-0.140510854,0,0.053804,0.047877897,39,30.47999954,4363.490234,13537.94043,1934.400024,55,NA,NA,NA,"Sideways"
"3/4/2022",2834,2849.55,2573,2611.71,13234731.32,0.045854494,-0.081683962,276.55,0.035720924,-0.043770361,276.55,216.514988,2814.801429,2736.889286,2872.075333,42.17930253,-0.00960639,0.048990417,-0.130037159,-0.10796774,0,0.048990417,0.047617441,33,31.97999954,4328.870117,13313.44043,1965.099976,55,NA,NA,NA,"Sideways"
"3/5/2022",2611.71,2685.12,2589.38,2670.06,7412876.43,0.020848454,0.022095765,95.74,0.045854494,-0.081683962,95.74,207.8882031,2796.9,2731.673571,2872.403333,44.47899604,0.039666945,0.039380689,-0.103358558,0.026678601,1,0.039380689,0.046341848,22,31.97999954,4328.870117,13313.44043,1965.099976,55,NA,NA,NA,"Sideways"
"3/6/2022",2670.07,2676.29,2590,2629.09,7010231.957,0.023482668,-0.015463165,86.29,0.020848454,0.022095765,86.29,199.2026172,2796.757143,2730.022857,2861.512667,43.18037385,-0.059969965,0.034789906,-0.075051363,0.028307195,1,0.034789906,0.045230895,22,31.97999954,4328.870117,13313.44043,1965.099976,56,NA,NA,NA,"Sideways"
"3/7/2022",2629.08,2649,2445,2504.22,15607637.66,0.055161913,-0.04866047,204,0.023482668,-0.015463165,204,199.5452874,2740.611429,2721.864286,2844.343333,39.40423802,-0.109987168,0.03621369,-0.04202787,0.033023492,0,0.03621369,0.046378317,23,36.45000076,4201.089844,12830.95996,1993.900024,56,NA,NA,NA,"Sideways"
"3/8/2022",2504.21,2624,2480.15,2568.39,13793627.52,0.0372616,0.025301935,143.85,0.055161913,-0.04866047,143.85,195.5670526,2682.61,2719.292143,2830.316333,42.20151994,-0.023738823,0.036521826,-0.038821701,0.00320617,0,0.036521826,0.046438603,21,35.13000107,4170.700195,12795.5498,2040.099976,56,NA,NA,NA,"Sideways"
"3/9/2022",2568.38,2775.85,2565.62,2716.68,13440656.24,0.040494315,0.056131303,210.23,0.0372616,0.025301935,210.23,196.614406,2647.735714,2724.989286,2815.816,48.15739173,-0.064348013,0.03544979,0.032772768,0.071594468,0,0.03544979,0.046432657,22,32.45000076,4277.879883,13255.5498,1985.900024,56,NA,NA,NA,"Sideways"
"3/10/2022",2716.67,2735.52,2550.27,2612.41,13456807.88,0.033180901,-0.03913738,185.25,0.040494315,0.056131303,185.25,195.8026627,2616.08,2728.288571,2799.099,44.67166562,-0.129769171,0.037916279,0.042295858,0.00952309,0,0.037916279,0.046153849,28,30.22999954,4259.52002,13129.95996,1998.099976,56,NA,NA,NA,"Sideways"
"3/11/2022",2612.4,2676.78,2522.57,2570.42,11881873.37,0.04347669,-0.016203857,154.21,0.033180901,-0.03913738,154.21,192.8317582,2610.181429,2712.491429,2776.412333,43.31206796,-0.141390192,0.041915084,0.000790066,-0.041505792,0,0.041915084,0.046310007,22,30.75,4204.310059,12843.80957,1982.699951,56,NA,NA,NA,"Sideways"
"3/12/2022",2570.43,2616.79,2553.39,2587.29,5875562.353,0.016689573,0.006541686,63.4,0.04347669,-0.016203857,63.4,183.5866326,2598.357143,2697.628571,2758.794667,44.04885358,-0.091078145,0.034220616,-0.048799551,-0.049589617,1,0.034220616,0.045441811,22,30.75,4204.310059,12843.80957,1982.699951,56,NA,NA,NA,"Sideways"
"3/13/2022",2587.29,2603.32,2500,2504.83,7179697.913,0.032295827,-0.032390128,103.32,0.016689573,0.006541686,103.32,177.8533017,2580.605714,2688.681429,2745.822667,41.22815087,-0.041784311,0.033227461,-0.042052299,0.006747252,1,0.033227461,0.045439755,21,30.75,4204.310059,12843.80957,1982.699951,52,NA,NA,NA,"Sideways"
"3/14/2022",2504.82,2609.6,2493,2570.77,9486564.898,0.026076913,0.025984597,116.6,0.032295827,-0.032390128,116.6,173.4780659,2590.112857,2665.362143,2734.328333,44.29978761,-0.037895479,0.030343981,0.000136155,0.042188454,0,0.030343981,0.044610513,23,31.77000046,4173.109863,12581.21973,1959.599976,52,NA,NA,NA,"Sideways"
"3/15/2022",2570.77,2669,2507,2621.74,11194343.43,0.03621311,0.019632755,162,0.026076913,0.025984597,162,172.658204,2597.734286,2640.172143,2724.981667,46.62205755,-0.002799559,0.030950423,0.013227224,0.013091068,0,0.030950423,0.043258235,21,29.82999992,4262.450195,12948.62012,1928.5,52,NA,NA,NA,"Sideways"
"3/16/2022",2621.75,2788,2603.38,2746.93,15951011.72,0.051539168,0.046645705,184.62,0.03621311,0.019632755,184.62,173.512618,2602.055714,2624.895714,2718.505667,51.92387747,0.092506616,0.032562918,0.092263056,0.079035833,0,0.032562918,0.043300911,24,26.67000008,4357.859863,13436.5498,1908,52,NA,NA,NA,"Sideways"
"3/17/2022",2746.93,2836,2742.88,2819.31,9202260.19,0.022494998,0.02600825,93.12,0.051539168,0.046645705,93.12,167.7702882,2631.612857,2623.846429,2708.292667,54.72392581,0.093212931,0.033724003,0.092286709,2.37e-05,0,0.033724003,0.042756137,27,25.67000008,4411.669922,13614.78027,1942.099976,52,NA,NA,NA,"Sideways"
"3/18/2022",2819.31,2984,2765.59,2931.69,13224272.46,0.032937285,0.039086874,218.41,0.022494998,0.02600825,218.41,171.3874104,2683.222857,2646.702143,2701.473333,58.74184359,0.076168502,0.033852295,0.111740829,0.01945412,0,0.033852295,0.040066125,25,23.87000084,4463.120117,13893.83984,1928.199951,52,NA,NA,NA,"Sideways"
"3/19/2022",2931.68,2987.7,2890.86,2935.6,8654268.003,0.019993318,0.001332813,96.84,0.032937285,0.039086874,96.84,166.0625954,2732.981429,2665.669286,2702.681,58.87857643,0.116638695,0.032635576,0.066427937,-0.045312892,1,0.032635576,0.038330236,28,23.87000084,4463.120117,13893.83984,1928.199951,52,NA,NA,NA,"Sideways"
